area_id,build_id,build_name,floor,room_id,room_name
0001,000004,东1舍（原东院一公寓1）,5,00000478,东1舍-515
0001,000004,东1舍（原东院一公寓1）,5,00000479,东1舍-516
0001,000004,东1舍（原东院一公寓1）,5,00000480,东1舍-517
0001,000005,东2舍（原东院一公寓2）,1,00000481,东2舍-101
0001,000005,东2舍（原东院一公寓2）,1,00000482,东2舍-102
0001,000005,东2舍（原东院一公寓2）,1,00000483,东2舍-103
0001,000005,东2舍（原东院一公寓2）,1,00000484,东2舍-104
0001,000005,东2舍（原东院一公寓2）,1,00000485,东2舍-105
0001,000005,东2舍（原东院一公寓2）,1,00000486,东2舍-106
0001,000005,东2舍（原东院一公寓2）,1,00000487,东2舍-107
0001,000005,东2舍（原东院一公寓2）,1,00000488,东2舍-108
0001,000005,东2舍（原东院一公寓2）,1,00000489,东2舍-109
0001,000005,东2舍（原东院一公寓2）,1,00000490,东2舍-110
0001,000005,东2舍（原东院一公寓2）,1,00000491,东2舍-111
0001,000005,东2舍（原东院一公寓2）,1,00000492,东2舍-112
0001,000005,东2舍（原东院一公寓2）,1,00000493,东2舍-113
0001,000005,东2舍（原东院一公寓2）,1,00000494,东2舍-114
0001,000005,东2舍（原东院一公寓2）,1,00000495,东2舍-115
0001,000005,东2舍（原东院一公寓2）,1,00000496,东2舍-116
0001,000005,东2舍（原东院一公寓2）,2,00000497,东2舍-201
0001,000005,东2舍（原东院一公寓2）,2,00000498,东2舍-202
0001,000005,东2舍（原东院一公寓2）,2,00000499,东2舍-203
0001,000005,东2舍（原东院一公寓2）,2,00000500,东2舍-204
0001,000005,东2舍（原东院一公寓2）,2,00000501,东2舍-205
0001,000005,东2舍（原东院一公寓2）,2,00000502,东2舍-206
0001,000005,东2舍（原东院一公寓2）,2,00000503,东2舍-207
0001,000005,东2舍（原东院一公寓2）,2,00000504,东2舍-208
0001,000005,东2舍（原东院一公寓2）,2,00000505,东2舍-209
0001,000005,东2舍（原东院一公寓2）,2,00000506,东2舍-210
0001,000005,东2舍（原东院一公寓2）,2,00000507,东2舍-211
0001,000005,东2舍（原东院一公寓2）,2,00000508,东2舍-212
0001,000005,东2舍（原东院一公寓2）,2,00000509,东2舍-213
0001,000005,东2舍（原东院一公寓2）,2,00000510,东2舍-214
0001,000005,东2舍（原东院一公寓2）,2,00000511,东2舍-215
0001,000005,东2舍（原东院一公寓2）,2,00000512,东2舍-办公室
0001,000005,东2舍（原东院一公寓2）,2,00000513,东2舍-无名
0001,000005,东2舍（原东院一公寓2）,3,00000514,东2舍-301
0001,000005,东2舍（原东院一公寓2）,3,00000515,东2舍-302
0001,000005,东2舍（原东院一公寓2）,3,00000516,东2舍-303
0001,000005,东2舍（原东院一公寓2）,3,00000517,东2舍-304
0001,000005,东2舍（原东院一公寓2）,3,00000518,东2舍-305
0001,000005,东2舍（原东院一公寓2）,3,00000519,东2舍-306
0001,000005,东2舍（原东院一公寓2）,3,00000520,东2舍-307
0001,000005,东2舍（原东院一公寓2）,3,00000521,东2舍-308
0001,000005,东2舍（原东院一公寓2）,3,00000522,东2舍-309
0001,000005,东2舍（原东院一公寓2）,3,00000523,东2舍-310
0001,000005,东2舍（原东院一公寓2）,3,00000524,东2舍-311
0001,000005,东2舍（原东院一公寓2）,3,00000525,东2舍-312
0001,000005,东2舍（原东院一公寓2）,3,00000526,东2舍-313
0001,000005,东2舍（原东院一公寓2）,3,00000527,东2舍-314
0001,000005,东2舍（原东院一公寓2）,3,00000528,东2舍-315
0001,000005,东2舍（原东院一公寓2）,3,00000529,东2舍-316
0001,000005,东2舍（原东院一公寓2）,3,00000530,东2舍-317
0001,000005,东2舍（原东院一公寓2）,4,00000531,东2舍-401
0001,000005,东2舍（原东院一公寓2）,4,00000532,东2舍-402
0001,000005,东2舍（原东院一公寓2）,4,00000533,东2舍-403
0001,000005,东2舍（原东院一公寓2）,4,00000534,东2舍-404
